書名,書籍網址,作者,出版社,ISBN,圖片網址
行動介面設計模式圖鑑 (第2版),https://www.eslite.com/product/1001133102375857,Theresa Neil,美商歐萊禮股份有限公司台灣分公司,9789863473343,https://s.eslite.dev/upload/product/l/2680921867005/437754.jpg
Python設計模式,https://www.eslite.com/product/1001313432807336,羅偉富,深智數位股份有限公司,9789865501068,https://s.eslite.dev/Upload/Product/201911/l/637096626970837500.jpg
設計師都該懂的包容性網頁UI/ UX設計模式: 知名設計師教你親和性網頁的實作祕密,https://www.eslite.com/product/1001120322806423,Heydon Pickering,博碩文化股份有限公司,9789864344277,https://s.eslite.dev/Upload/Product/201911/l/637090578948222500.jpg
設計模式與遊戲開發的完美結合 (暢銷回饋版),https://www.eslite.com/product/1001120322802234,蔡昇達,博碩文化股份有限公司,9789864344352,https://s.eslite.dev/Upload/Product/201910/l/637072435524262500.jpg
.NET設計模式,https://www.eslite.com/product/1001113692625686,Praseed Pai/Shine Xavier,碁峰資訊股份有限公司,9789864765805,https://s.eslite.dev/upload/product/l/2681505877007/ec1359811.jpg
七天學會設計模式: 設計模式也可以這樣學,https://www.eslite.com/product/1001120322588140,Yan (硯取歪),博碩文化股份有限公司,9789864342044,https://s.eslite.dev/upload/product/l/2681448372003/662237.jpg
揭開設計模式的秘辛: 設計模式第1 3/4版,https://www.eslite.com/product/1001120322579482,John Vlissides,博碩文化股份有限公司,9789864341894,https://s.eslite.dev/Upload/Product/201703/l/636262264739506250.jpg
Node.js設計模式,https://www.eslite.com/product/1001120322562899,Mario Casciaro,博碩文化股份有限公司,9789864341467,https://s.eslite.dev/upload/product/l/2681410942005/ec1235662.jpg
設計模式: Android原始碼解析與應用,https://www.eslite.com/product/1001120322496308,何紅輝/ 關愛民,博碩文化股份有限公司,9789864340941,https://s.eslite.dev/Upload/Product/201603/l/635939730752693534.jpg
設計模式與遊戲開發的完美結合,https://www.eslite.com/product/1001120322483686,蔡昇達,博碩文化股份有限公司,9789864340835,https://s.eslite.dev/upload/product/l/2681270594000/539123.jpg
Swift設計模式,https://www.eslite.com/product/1001113692462298,Adam Freeman,碁峰資訊股份有限公司,9789863477303,https://s.eslite.dev/Upload/Product/201510/l/635817907070055000.jpg
Python設計模式深入解析,https://www.eslite.com/product/1001120322444747,Sakis Kasampalis,博碩文化股份有限公司,9789864340415,https://s.eslite.dev/upload/product/l/2681177259002/502814.jpg
JavaScript設計模式與開發實踐,https://www.eslite.com/product/1001120322445243,曾探,博碩文化股份有限公司,9789864340408,https://s.eslite.dev/upload/product/l/2681181177002/501358.jpg
設計模式的解析與活用,https://www.eslite.com/product/1001120322278888,Alan Shalloway/ James R. Trott,博碩文化股份有限公司,9789862018200,https://s.eslite.dev/Upload/Product/201310/l/635182867064570000.jpg
JavaScript設計模式,https://www.eslite.com/product/1001133102125147,Stoyan Stefanov,美商歐萊禮股份有限公司台灣分公司,9789862764190,https://s.eslite.dev/Upload/Product/201203/l/634680019796323750.jpg
網頁介面設計模式,https://www.eslite.com/product/1001133102043231,"Scott, Bill/ Neil, Theresa",美商歐萊禮股份有限公司台灣分公司,9789862762172,https://s.eslite.dev/Upload/Product/201108/l/634483027846785583.jpg
深入淺出設計模式: 建構可擴展、易維護的物件導向軟體 (第2版),https://www.eslite.com/product/1001133102682062331001,Eric Freeman/ Elisabeth Robson,美商歐萊禮股份有限公司台灣分公司,9789865029364,https://s.eslite.dev/upload/product/l/2682062331001/20210824055827696000.jpg
機器學習設計模式,https://www.eslite.com/product/1001133102682021803006,Valliappa Lakshmanan/ Sara Robinson/ Michael Munn,美商歐萊禮股份有限公司台灣分公司,9789865027889,https://s.eslite.dev/upload/product/l/2682021803006/20210522040810250751.jpg
操作介面設計模式 (第3版),https://www.eslite.com/product/1001133102681962559003,Jenifer Tidwel/ Charles Brewer/ Aynne Valencia,美商歐萊禮股份有限公司台灣分公司,9789865026547,https://s.eslite.dev/upload/product/l/2681962559003/20201229043333019534.jpg
依賴注入: 原理、實作與設計模式,https://www.eslite.com/product/1001120322861207,Steven van Deursen/ Mark Seemann,博碩文化股份有限公司,9789864344987,https://s.eslite.dev/Upload/Product/202008/l/637322133395728750.jpg
城市大街: 景觀街道設計模式與原則,https://www.eslite.com/product/1001111331617749,黃文珊/ 王絢鵬/ 廖慧怡,地景企業股份有限公司,9789570431315,0
Head First Design Patterns: 深入淺出設計模式,https://www.eslite.com/product/1001133101478727,,美商歐萊禮股份有限公司台灣分公司,9789867794529,0
發散式危害源氣罩設計模式研究IOSH91-H121,https://www.eslite.com/product/1001183261502605,,行政院勞工委員會勞工安全衛生研究所,,0
無瑕的程式碼: 敏捷完整篇,https://www.eslite.com/product/1001120322595002,Robert C. Martin/ Micah Martin,博碩文化股份有限公司,9789864342099,https://s.eslite.dev/Upload/Product/201705/l/636318269081021250.jpg
圖解音效入門: 影視、動畫、遊戲場景聲音特效製作法,https://www.eslite.com/product/1001117242872394,小川哲弘,易博士出版社,9789864801268,https://s.eslite.dev/upload/product/l/2681917879002/20201105061552319714.jpg
架構模式: 使用Python,https://www.eslite.com/product/1001133102866550,Harry Percival/ Bob Gregory,美商歐萊禮股份有限公司台灣分公司,9789865025960,https://s.eslite.dev/Upload/Product/202008/l/637335093667897500.jpg
完全精通微軟Web架構: ASP.Net Core 3最新強實戰,https://www.eslite.com/product/1001313432858412,蔣金楠,深智數位股份有限公司,9789865501402,https://s.eslite.dev/Upload/Product/202007/l/637310899000485000.jpg
"你今天AR了沒? AR擴增實境創新思維: AR傳教士白璧珍教你, 全球知名企業都在使用的溝通術, 基礎觀念X應用解析X設計方法, 一本全方位解析XR產業應用的實戰書",https://www.eslite.com/product/1001144562855273,白璧珍,布克文化出版事業部,9789865405762,https://s.eslite.dev/Upload/Product/202007/l/637297088717528750.jpg
素養導向系列叢書: 中學英語文教材教法 108課綱,https://www.eslite.com/product/1001116712833447,葉錫南/ 陳秋蘭/ 許綉敏/ 莊惠如/ 廖彥棻/ 林彥良/ 程玉秀/ 林明佳/ 曾俊傑,五南圖書出版股份有限公司,9789865444532,https://s.eslite.dev/upload/product/l/2681863478007/20200318033236456876.jpg
React前端開發: 同構應用與狀態管理,https://www.eslite.com/product/1001248272805438,侯策/ 顏海鏡,深石數位科技股份有限公司,9789865004316,https://s.eslite.dev/Upload/Product/201911/l/637087123857597500.jpg
科班出身的MVC網頁開發: 使用Python+Django (熱銷版),https://www.eslite.com/product/1001239292820399,王友釗/ 黃靜,佳魁資訊股份有限公司,9789863797685,https://s.eslite.dev/Upload/Product/202001/l/637141562512430000.jpg
分散式系統設計,https://www.eslite.com/product/1001133102764449,Brendan Burns,美商歐萊禮股份有限公司台灣分公司,9789865020774,https://s.eslite.dev/Upload/Product/201905/l/636937650392962500.jpg
Web API 建構與設計,https://www.eslite.com/product/1001133102746611,Amir Shevat/ Brenda Jin/ Saurabh Sahni,美商歐萊禮股份有限公司台灣分公司,9789865020590,https://s.eslite.dev/Upload/Product/201902/l/636865074730210000.jpg
