書名,書籍網址,作者,出版社,ISBN,圖片網址
Docker工作現場實戰寶典,https://www.eslite.com/product/1001113692752976,Ken Cochrane/ Jeeva S. Chelladhurai/ Neependra Khare,碁峰資訊股份有限公司,9789865020637,https://s.eslite.dev/Upload/Product/201903/l/636894451057437500.jpg
實戰Docker: 使用Windows Server 2016/ Windows 10,https://www.eslite.com/product/1001113692696611,Elton Stoneman,碁峰資訊股份有限公司,9789864767915,https://s.eslite.dev/Upload/Product/201807/l/636681289101706250.jpg
Docker編配的奧義,https://www.eslite.com/product/1001120322438417,Shrikrishna Holla,博碩文化股份有限公司,9789864340347,https://s.eslite.dev/Upload/Product/201507/l/635733235069207500.jpg
實況直播: 用Docker建構大型資料中心,https://www.eslite.com/product/1001313432873997,馬獻章,深智數位股份有限公司,9789865501518,https://s.eslite.dev/upload/product/l/2681921069000/20200911041856057581.jpg
現在學正是時候: 用Docker+Kubernetes建立永續叢集服務,https://www.eslite.com/product/1001313432851322,羅利民,深智數位股份有限公司,9789865501341,https://s.eslite.dev/Upload/Product/202006/l/637284114466933750.jpg
Docker專業養成: 活用基礎與實踐技能 (暢銷回饋版),https://www.eslite.com/product/1001120322806400,熊昌隆,博碩文化股份有限公司,9789864344437,https://s.eslite.dev/Upload/Product/201911/l/637090578900253750.jpg
Spring Cloud & Docker雙劍制霸: 微服務架構實戰應用技術,https://www.eslite.com/product/1001239292799923,周立,佳魁資訊股份有限公司,9789863797784,https://s.eslite.dev/Upload/Product/201910/l/637058620046390000.jpg
Docker專業養成: 活用基礎與實踐技能,https://www.eslite.com/product/1001120322641226,熊昌隆,博碩文化股份有限公司,9789864342648,https://s.eslite.dev/Upload/Product/201712/l/636478005642401257.jpg
第一次用Docker就上手,https://www.eslite.com/product/1001113692620830,李金榜/ 尹燁/ 劉天斯/ 陳純,碁峰資訊股份有限公司,9789864764877,https://s.eslite.dev/Upload/Product/201709/l/636402260328695000.jpg
NoSQL開發完美方案: Redis+Docker高性能虛擬化實戰,https://www.eslite.com/product/1001313432682040770006,高洪岩,深智數位股份有限公司,9789860776140,https://s.eslite.dev/upload/product/l/2682040770006/20210706093936997904.jpg
