書名,書籍網址,作者,出版社,ISBN,圖片網址
"精通機器學習: 使用Scikit-Learn, Keras與TensorFlow (第2版)",https://www.eslite.com/product/1001133102837729,Aurélien Géron,美商歐萊禮股份有限公司台灣分公司,9789865024345,https://s.eslite.dev/upload/product/l/2681869084004/20200408033529942581.jpg
"TensorFlow自然語言處理: 善用Python深度學習函式庫, 教機器學會自然語言",https://www.eslite.com/product/1001113692791597,Thushan Ganegedara,碁峰資訊股份有限公司,9789865022471,https://s.eslite.dev/upload/product/l/2681803328003/20190903042459691535.jpg
實戰TensorFlow x Keras工作現場開發,https://www.eslite.com/product/1001113692750238,太田滿久/ 須藤広大/ 黑澤匠雅/ 小田大輔,碁峰資訊股份有限公司,9789865020620,https://s.eslite.dev/Upload/Product/201903/l/636882355789291250.jpg
初探深度學習: 使用TensorFlow,https://www.eslite.com/product/1001133102706872,Reza Zadeh/ Bharath Ramsundar,美商歐萊禮股份有限公司台灣分公司,9789864769056,https://s.eslite.dev/upload/product/l/2681635824001/ec1536652.jpg
深度學習實務應用雲端、行動與邊緣裝置: 使用Python、Keras與Tensorflow於人工智慧與電腦視覺專案,https://www.eslite.com/product/1001133102682053655000,Anirudh Koul/ Siddha Ganju/ Meher Kasam,美商歐萊禮股份有限公司台灣分公司,9789865026066,https://s.eslite.dev/upload/product/l/2682053655000/20210803033944716495.jpg
AI手機APP、智慧硬體專案實作: 使用TensorFlow Lite,https://www.eslite.com/product/1001113692681965215005,Jeff Tang,碁峰資訊股份有限公司,9789865026356,https://s.eslite.dev/upload/product/l/2681965215005/20210106055430432904.jpg
深度學習快速入門: 使用TensorFlow,https://www.eslite.com/product/1001120322564974,Giancarlo Zaccone,博碩文化股份有限公司,9789864341795,https://s.eslite.dev/Upload/Product/201701/l/636198261997250000.jpg
別再mnist了: 跨平台高平行TensorFlow 2精彩上陣,https://www.eslite.com/product/1001313432681999845001,李金洪,深智數位股份有限公司,9789865501860,https://s.eslite.dev/upload/product/l/2681999845001/20210402040610680438.jpg
Python+TensorFlow 2.x人工智慧、機器學習、大數據: 超炫專案與完全實戰,https://www.eslite.com/product/1001113692877375,柯博文,碁峰資訊股份有限公司,9789865025984,https://s.eslite.dev/upload/product/l/2681925685008/20200925042349791180.jpg
JavaScript網頁設計與TensorFlow.js人工智慧應用教本,https://www.eslite.com/product/1001113692876161,陳會安,碁峰資訊股份有限公司,9789865026103,https://s.eslite.dev/upload/product/l/2681923995000/20200922031733861188.jpg
Towards Tensorflow 2.0: 無痛打造AI模型,https://www.eslite.com/product/1001120322856427,陳峻廷,博碩文化股份有限公司,9789864345007,https://s.eslite.dev/Upload/Product/202007/l/637302258672286250.jpg
行動裝置上的AI: 使用TensorFlow on iOS/ Android/ 樹莓派,https://www.eslite.com/product/1001313432847306,王眾磊/ 陳海波,深智數位股份有限公司,9789865501310,https://s.eslite.dev/Upload/Product/202005/l/637255610049913750.jpg
"TensorFlow 2.0深度學習快速入門: 從1到2快人一步, 從0到2一步到位",https://www.eslite.com/product/1001120322842756,趙英俊,博碩文化股份有限公司,9789864344826,https://s.eslite.dev/upload/product/l/2681877001000/20200429031757483019.jpg
