ISBN,書籍簡介
9789865024857,"「本書滿載著實用的配方，每位專業的TypeScript開發者都必須把這本書放在桌上。即使你認為已經熟悉TypeScript了，買下這本書也絕對不會後悔。」 —Yakov Fain, Java Champion  TypeScript是JavaScript的有型態(typed)超集合，可以解決許多令人頭痛的JavaScript問題。但是TypeScript有自成一格的學習曲線，你要投入許多時間與實際操作才能瞭解如何高效地使用。這本實用書籍採取Effective C++與Effective Java(皆為Addison-Wesley出版)風糜一時的寫法，提出62條具體建議，告訴你該做什麼，不該做什麼，以及如何看待這種語言。  Sidewalk Labs首席軟體工程師Dan Vanderkam會用具體的例子告訴你如何實際運用每一項建議。本書將協助你從TypeScript初學者，或知道TypeScript基本知識的中階使用者，晉升為活用這種語言的專家。  ‧學習TypeScript型態系統的細節 ‧設計可讓程式更安全且更易懂的型態 ‧使用型態推斷，用最少的型態註解取得百分之百的安全 ‧有策略地使用各種型態 ‧瞭解TypeScript的依賴項目與型態宣告檔案如何運作 ‧將JavaScript基礎程式成功地遷移至TypeScript"
9789865024031,創造應用程式規模的JavaScript 「如果你想要深入學習TypeScript，找這本書就對了。《TypeScript程式設計》展示了在JavaScript之上使用型別系統的所有好處，並提供深刻的見解幫助你精通此語言。」 —Minko Gechev 工程師，Google Angular團隊 「《TypeScript程式設計》讓我快速且有效地了解TypeScript工具鏈和整個生態系統。我有過的每個使用問題都被簡潔有力的實務案例所解答了。「進階型別」那一章分析了我常感到疑惑的術語，並展示如何運用TypeScript創造極度安全但用起來依然令人愉悅的程式碼。」 —Sean Grove OneGraph共同創始人 使用動態型別語言的程式設計師都會告訴你，要將程式規模擴展為更多行的程式碼並由更多工程師維護，有多麼困難。那就是Facebook、Google和Microsoft為他們動態型別的JavaScript和Python程式碼發明逐步靜態型別層的原因。這本實務的書籍會向你展示，這種型別層之一的TypeScript是其中獨一無二的佼佼者：它會以其強大的靜態型別系統來讓程式設計變得有趣。 如果你是具有中等JavaScript經驗的程式設計師，作者Boris Cherny會教授你如何精通TypeScript語言。你會學到TypeScript如何能幫助你消除程式碼中的臭蟲，並讓你更輕易將程式碼的規模拓展，讓更多工程師維護。 在本書中，你會： ‧從基礎開始：學習TypeScript不同的型別和型別運算子，包括它們的用途，以及如何使用 ‧探索進階主題：了解TypeScript精密的型別系統，包括如何安全地處理錯誤，以及建置非同步的程式 ‧實際動手做：並用你最愛的前端和後端框架與TypeScript，將你既有的JavaScript專案遷移至TypeScript，並且讓你的應用程式正式上線執行
9781484270103,"Learn the essentials and more of TypeScript, a popular superset of the JavaScript language that adds support for static typing. TypeScript combines the typing features of C# or Java with the flexibility of JavaScript, reducing typing errors and providing an easier path to JavaScript development.Author Adam Freeman explains how to get the most from TypeScript 4 in this second edition of his best-selling book. He begins by describing the TypeScript language and the benefits it offers and then shows you how to use TypeScript in real-world scenarios, including development with the DOM API, and popular frameworks such as Angular and React. He starts from the nuts-and-bolts and builds up to the most advanced and sophisticated features.Each topic is covered clearly and concisely, and is packed with the details you need to be effective. The most important features are given a no-nonsense, in-depth treatment and chapters include common problems and teach you how to avoid them. What You Will LearnGain a solid understanding of the TypeScript language and toolsUse TypeScript for client- and server-side developmentExtend and customize TypeScriptTest your TypeScript codeApply TypeScript with the DOM API, Angular, React, and Vue.js Who This Book Is ForJavaScript developers who want to use TypeScript to create client-side or server-side applications"
9781800564732,0
9798713179991,0
9789811480270,0
9781973593799,0
9781789615869,0
9781492053743,"TypeScript is a typed superset of JavaScript with the potential to solve many of the headaches for which JavaScript is famous. But TypeScript has a learning curve of its own, and understanding how to use it effectively can take time. This book guides you through 62 specific ways to improve your use of TypeScript.Author Dan Vanderkam, a principal software engineer at Sidewalk Labs, shows you how to apply these ideas, following the format popularized by Effective C++ and Effective Java (both from Addison-Wesley). You'll advance from a beginning or intermediate user familiar with the basics to an advanced user who knows how to use the language well.Effective TypeScript is divided into eight chapters: Getting to Know TypeScriptTypeScript's Type SystemType InferenceType DesignWorking with anyTypes Declarations and @typesWriting and Running Your CodeMigrating to TypeScript"
9781484249789,"Work with Typescript and get the most from this versatile open source language. Author Adam Freeman begins this book by describing Typescript and the benefits it offers, and goes on to show you how to use TypeScript in realistic scenarios, going in-depth to give you the knowledge you need. Starting from the nuts-and-bolts and building up to the most advanced and sophisticated features, you will learn how TypeScript builds on the JavaScript type system to create a safer and more productive development experience and understand how TypeScript can be used to create applications using popular frameworks, including Node.js, Angular, React, and Vue.js.Each topic is covered clearly and concisely and is packed with the details you need to learn to be truly effective. The most important features are given a no-nonsense in-depth treatment and chapters include common problems and details of how to avoid them.What You Will LearnGain a solid understanding of the TypeScript language and toolsUse TypeScript for client- and server-side developmentExtend and customize TypeScriptDebug and unit test your TypeScript codeWho This Book Is ForDevelopers who want to start using TypeScript, for example to create rich web applications using Angular, React, or Vue.js Adam Freeman is an experienced IT professional who has held senior positions in a range of companies, most recently serving as chief technology officer and chief operating officer of a global bank. Now retired, he spends his time writing and long-distance running."
