書名,書籍網址,作者,出版社,ISBN,圖片網址
CV+深度學習: AI最完整的跨套件Python人工智慧電腦視覺,https://www.eslite.com/product/1001313432773998,繆鵬,深智數位股份有限公司,9789869772686,https://s.eslite.dev/Upload/Product/201907/l/636976589787676531.jpg
影像處理與電腦視覺 (第6版),https://www.eslite.com/product/1001273422449065,鍾國亮,台灣東華書局股份有限公司,9789574838271,https://s.eslite.dev/upload/product/l/2681197735005/504711.jpg
深度學習實務應用雲端、行動與邊緣裝置: 使用Python、Keras與Tensorflow於人工智慧與電腦視覺專案,https://www.eslite.com/product/1001133102682053655000,Anirudh Koul/ Siddha Ganju/ Meher Kasam,美商歐萊禮股份有限公司台灣分公司,9789865026066,https://s.eslite.dev/upload/product/l/2682053655000/20210803033944716495.jpg
科班出身的AI人必修課: OpenCV影像處理使用Python,https://www.eslite.com/product/1001313432801204,李立宗,深智數位股份有限公司,9789869807296,https://s.eslite.dev/Upload/Product/201910/l/637072435317856250.jpg
OpenCV 4 專案實務 (第2版),https://www.eslite.com/product/1001113692799003,David Millán Escrivá/ 等,碁峰資訊股份有限公司,9789865022907,https://s.eslite.dev/upload/product/l/2681814386009/20191004044121561922.jpg
精通OpenCV 3,https://www.eslite.com/product/1001120322751440,Daniel Lélis Baggio/ Shervin Emami/ David Millán Escrivá/ Khvedchenia Ievgen/ Jason Saragih,博碩文化股份有限公司,9789864342983,https://s.eslite.dev/Upload/Product/201903/l/636888405018510000.jpg
OpenCV 3學習手冊,https://www.eslite.com/product/1001133102641232,Adrian Kaehler/Gary Bradski,美商歐萊禮股份有限公司台灣分公司,9789864764815,https://s.eslite.dev/upload/product/l/2681528167000/ec1397514.jpg
AIoT與OpenCV實戰應用: Python、樹莓派、物聯網與機器視覺 (第2版),https://www.eslite.com/product/1001113692681971867007,朱克剛,碁峰資訊股份有限公司,9789865027162,https://s.eslite.dev/upload/product/l/2681971867007/20210121033850152442.jpg
AIoT與OpenCV實戰應用: Python、樹莓派、物聯網與機器視覺,https://www.eslite.com/product/1001113692828301,朱克剛,碁峰資訊股份有限公司,9789865024116,https://s.eslite.dev/upload/product/l/2681857950007/20200221041416578371.jpg
3D視覺專題製作: Kinect、Processing、Arduino及MakerBot,https://www.eslite.com/product/1001133102231403,Greg Borenstein,美商歐萊禮股份有限公司台灣分公司,9789862767672,https://s.eslite.dev/Upload/Product/201305/l/635031884405418750.jpg
Python機器學習超進化: AI影像辨識跨界應用實戰 (附影音教學/範例程式),https://www.eslite.com/product/1001113692875302,鄧文淵/ 總監製; 文淵閣工作室,碁峰資訊股份有限公司,9789865026196,https://s.eslite.dev/upload/product/l/2681922809001/20200918034703556182.jpg
人工智慧與深度學習: 理論與Python實踐,https://www.eslite.com/product/1001113692831648,黃日鉦,碁峰資訊股份有限公司,9789865023898,https://s.eslite.dev/Upload/Product/202003/l/637199443404996680.jpg
Deep learning深度學習必讀: Keras大神帶你用Python實作,https://www.eslite.com/product/1001113882764958,François Chollet,旗標科技股份有限公司,9789863125501,https://s.eslite.dev/Upload/Product/201905/l/636940246397866159.jpg
世界第一簡單機器學習,https://www.eslite.com/product/1001117712750234,荒木雅弘,世茂出版有限公司,9789578799707,https://s.eslite.dev/Upload/Product/201903/l/636882355731478750.jpg
AI視覺大全: 用最好用的PyTorch實作,https://www.eslite.com/product/1001301192716437,唐進民,佳魁數位,9789863796978,https://s.eslite.dev/Upload/Product/201810/l/636740658308266410.jpg
OpenGL 3D繪圖互動程式設計 (附光碟),https://www.eslite.com/product/1001113882705846,朱宏國/ 姚智原/ 賴祐吉,旗標科技股份有限公司,9789863125112,https://s.eslite.dev/Upload/Product/201808/l/636706962517315000.jpg
擴增人類: 科技如何塑造新現實,https://www.eslite.com/product/1001133102660123,Helen Papagiannis,美商歐萊禮股份有限公司台灣分公司,9789864767205,https://s.eslite.dev/upload/product/l/2681551969008/ec1439490.jpg
Raspberry Pi入門與機器人實作應用,https://www.eslite.com/product/1001120322627293,王進德,博碩文化股份有限公司,9789864342495,https://s.eslite.dev/upload/product/l/2681507724002/ec1364502.jpg
臉的秘密: 看人的科學,https://www.eslite.com/product/1001127802626306,華沙,遠足文化事業股份有限公司,9789869547932,https://s.eslite.dev/Upload/Product/201710/l/636424436859767500.jpg
"列印心臟: 從精密零件到人體器官, 3D列印幫你印出來",https://www.eslite.com/product/1001299212628741,吳懷宇,上奇資訊,9789865000189,https://s.eslite.dev/upload/product/l/2681510888005/724287.jpg
好眼力: 護眼、養眼、治眼全百科: 百大良醫陳瑩山破解眼科疑難雜症,https://www.eslite.com/product/1001136112462312,陳瑩山,新自然主義股份有限公司,9789576967542,https://s.eslite.dev/upload/product/l/2681224954003/522999.jpg
"決戰3D列印: 智造時代來臨, 顛覆你的既定印象",https://www.eslite.com/product/1001275902447408,吳懷宇,有意思,9789863754176,https://s.eslite.dev/upload/product/l/2681184902007/ec1010037.jpg
拯救3C惡視力: 低頭族必備的視力保健書,https://www.eslite.com/product/1001183842300637,葉威毅,悅知文化,9789865740023,https://s.eslite.dev/Upload/Product/201401/l/635252850839527991.jpg
